dataset,horizon_sec,feature_name,positive_rows,negative_rows,block,variable_type,behavioural_reason,selection_status,primary_association_test,effect_size,test,n_positive_nonmissing,n_negative_nonmissing,positive_mean,negative_mean,positive_median,negative_median,statistic,p_value,effect_size_name,test_detail,q_value_bh,fdr_significant_0p05
group_snapshot,1,group_unknown_age_ratio,316,3375,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,reference_not_jointly_encoded,mann_whitney_u,-0.005123300515705531,mann_whitney_u,316,3375,0.5057305632911392,0.5065478693333334,0.5,0.5,530518.0,0.8765552323607801,rank_biserial,two_sided,0.89625310275091,False
group_snapshot,2,group_unknown_age_ratio,613,3078,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,reference_not_jointly_encoded,mann_whitney_u,-0.032224162000069945,mann_whitney_u,613,3078,0.49081182871125617,0.5095978771929824,0.5,0.5,913006.5,0.19368171714195126,rank_biserial,two_sided,0.22031295324896955,False
group_snapshot,3,group_unknown_age_ratio,770,2921,group_demography,numeric,Group demographic composition is a prespecified explanatory hypothesis.,reference_not_jointly_encoded,mann_whitney_u,-0.037861966858885765,mann_whitney_u,770,2921,0.48918237532467534,0.511037140705238,0.5,0.5,1082006.0,0.0954386845947333,rank_biserial,two_sided,0.10856150372650912,False
group_snapshot,1,member_distance_to_crossing_line_m_mean,316,3375,member_motion,numeric,Aggregated eligible-member motion may indicate whether any member is preparing to cross.,candidate,mann_whitney_u,-0.4555818096577591,mann_whitney_u,316,3375,0.9648323835443039,1.6551795498641975,0.91012325,1.8428775,290311.0,5.181663890433654e-41,rank_biserial,two_sided,4.715314140294626e-40,True
group_snapshot,2,member_distance_to_crossing_line_m_mean,613,3078,member_motion,numeric,Aggregated eligible-member motion may indicate whether any member is preparing to cross.,candidate,mann_whitney_u,-0.3687422289637452,mann_whitney_u,613,3078,1.1400514450108756,1.6868961917478882,1.052805,1.906547,595533.0,2.970053463615471e-47,rank_biserial,two_sided,1.5015270288278214e-46,True
group_snapshot,3,member_distance_to_crossing_line_m_mean,770,2921,member_motion,numeric,Aggregated eligible-member motion may indicate whether any member is preparing to cross.,candidate,mann_whitney_u,-0.30436116434062344,mann_whitney_u,770,2921,1.2380119987770564,1.6904651745749173,1.1732992500000001,1.9122705,782305.0,1.051664482651514e-38,rank_biserial,two_sided,4.5572127581565604e-38,True
group_snapshot,1,member_distance_to_crossing_line_m_min,316,3375,member_motion,numeric,Aggregated eligible-member motion may indicate whether any member is preparing to cross.,candidate,mann_whitney_u,-0.4967172995780591,mann_whitney_u,316,3375,0.6978957056962025,1.49824444,0.6077035,1.601071,268375.5,2.0214511665943862e-48,rank_biserial,two_sided,3.6790411232017834e-47,True
group_snapshot,2,member_distance_to_crossing_line_m_min,613,3078,member_motion,numeric,Aggregated eligible-member motion may indicate whether any member is preparing to cross.,candidate,mann_whitney_u,-0.4134191287535496,mann_whitney_u,613,3078,0.8801675448613376,1.539170670240416,0.79826,1.676063,553384.5,6.161819343822582e-59,rank_biserial,two_sided,5.607255602878549e-58,True
group_snapshot,3,member_distance_to_crossing_line_m_min,770,2921,member_motion,numeric,Aggregated eligible-member motion may indicate whether any member is preparing to cross.,candidate,mann_whitney_u,-0.34467381300657574,mann_whitney_u,770,2921,0.9947557662337663,1.54438482985279,0.8708,1.682141,736970.0,3.8448485634820185e-49,rank_biserial,two_sided,2.186757620480398e-48,True
group_snapshot,1,member_distance_to_crossing_line_m_max,316,3375,member_motion,numeric,Aggregated eligible-member motion may indicate whether any member is preparing to cross.,candidate,mann_whitney_u,-0.3977083919362401,mann_whitney_u,316,3375,1.2276478987341772,1.817238392,1.1671075,2.10744,321172.0,1.1630709934338961e-31,rank_biserial,two_sided,6.6149662751552845e-31,True
group_snapshot,2,member_distance_to_crossing_line_m_max,613,3078,member_motion,numeric,Aggregated eligible-member motion may indicate whether any member is preparing to cross.,candidate,mann_whitney_u,-0.30845965739071257,mann_whitney_u,613,3078,1.4010910897226756,1.8395865727745289,1.399987,2.1453275,652404.0,1.3818000583258223e-33,rank_biserial,two_sided,5.98780025274523e-33,True
group_snapshot,3,member_distance_to_crossing_line_m_max,770,2921,member_motion,numeric,Aggregated eligible-member motion may indicate whether any member is preparing to cross.,candidate,mann_whitney_u,-0.2523437534735036,mann_whitney_u,770,2921,1.4823972493506494,1.8417221591920578,1.5089055,2.145919,840803.0,3.931049156686204e-27,rank_biserial,two_sided,1.490522805243519e-26,True
group_snapshot,1,member_current_vy_mps_mean,316,3375,member_motion,numeric,Aggregated eligible-member motion may indicate whether any member is preparing to cross.,candidate,mann_whitney_u,0.3926019690576652,mann_whitney_u,316,3375,0.6138629282022302,-0.09986372859259258,0.6380039583333333,-0.0321923333333333,742605.0,6.7696964400488e-31,rank_biserial,two_sided,3.623778682614358e-30,True
group_snapshot,2,member_current_vy_mps_mean,613,3078,member_motion,numeric,Aggregated eligible-member motion may indicate whether any member is preparing to cross.,candidate,mann_whitney_u,0.3759618065161696,mann_whitney_u,613,3078,0.4776289491221938,-0.14160037183235866,0.425098,-0.046692,1298092.0,4.725888123105798e-49,rank_biserial,two_sided,2.8670387946841844e-48,True
group_snapshot,3,member_current_vy_mps_mean,770,2921,member_motion,numeric,Aggregated eligible-member motion may indicate whether any member is preparing to cross.,candidate,mann_whitney_u,0.37102842381856416,mann_whitney_u,770,2921,0.44396499878169443,-0.16600905434782606,0.3682085,-0.052529,1541838.0,1.1683780692357729e-56,rank_biserial,two_sided,8.17864648465041e-56,True
