dataset,feature_name,horizon_sec,level,negative_count,positive_count,total_count,positive_rate,overall_training_fraction,rare_level_under_1_percent_or_50_rows
individual,veh1_class,2,4,128,15,143,0.1048951048951049,0.005081914780198302,True
individual,veh1_class,2,5,1568,219,1787,0.1225517627308338,0.06350616581968087,False
individual,veh1_class,2,6,28,0,28,0.0,0.0009950602366821848,True
individual,veh1_class,2,7,3841,583,4424,0.13178119349005424,0.1572195173957852,False
individual,veh1_class,2,8,903,201,1104,0.18206521739130435,0.03923380361775472,False
individual,veh1_class,2,9,10221,1425,11646,0.12235960844925296,0.4138739827285973,False
individual,veh1_class,2,missing,1186,161,1347,0.11952487008166296,0.04786950495753225,False
individual,veh1_class,3,0,128,30,158,0.189873417721519,0.005614982764135186,True
individual,veh1_class,3,1,3139,969,4108,0.23588120740019475,0.14598955186751483,False
individual,veh1_class,3,10,1270,391,1661,0.2354003612281758,0.05902839475461104,False
individual,veh1_class,3,11,71,11,82,0.13414634146341464,0.00291410497885497,True
individual,veh1_class,3,12,5,0,5,0.0,0.0001776893279789616,True
individual,veh1_class,3,13,145,47,192,0.24479166666666666,0.006823270194392125,True
individual,veh1_class,3,2,360,56,416,0.1346153846153846,0.014783752087849603,False
individual,veh1_class,3,3,823,215,1038,0.2071290944123314,0.03688830448843242,False
individual,veh1_class,3,4,123,20,143,0.13986013986013987,0.005081914780198302,True
individual,veh1_class,3,5,1484,303,1787,0.16955791829882486,0.06350616581968087,False
individual,veh1_class,3,6,28,0,28,0.0,0.0009950602366821848,True
individual,veh1_class,3,7,3633,791,4424,0.1787974683544304,0.1572195173957852,False
individual,veh1_class,3,8,857,247,1104,0.223731884057971,0.03923380361775472,False
individual,veh1_class,3,9,9790,1856,11646,0.15936802335565858,0.4138739827285973,False
individual,veh1_class,3,missing,1116,231,1347,0.1714922048997773,0.04786950495753225,False
individual,veh2_class,1,0,135,7,142,0.04929577464788732,0.005046376914602509,True
individual,veh2_class,1,1,5346,314,5660,0.055477031802120144,0.2011443192721845,False
individual,veh2_class,1,10,1494,111,1605,0.0691588785046729,0.05703827428124667,False
individual,veh2_class,1,11,209,16,225,0.07111111111111111,0.007996019759053272,True
individual,veh2_class,1,13,371,6,377,0.015915119363395226,0.013397775329613703,False
individual,veh2_class,1,2,490,28,518,0.05405405405405406,0.01840861437862042,False
individual,veh2_class,1,3,799,52,851,0.06110458284371328,0.03024272362201926,False
individual,veh2_class,1,4,9,0,9,0.0,0.00031984079036213083,True
individual,veh2_class,1,5,1382,113,1495,0.07558528428093646,0.053129109065709515,False
individual,veh2_class,1,6,8,0,8,0.0,0.00028430292476633854,True
individual,veh2_class,1,7,4679,286,4965,0.057603222557905336,0.17644550268310885,False
individual,veh2_class,1,8,991,82,1073,0.07642124883504194,0.03813212978428516,False
individual,veh2_class,1,9,7778,547,8325,0.0657057057057057,0.295852731084971,False
individual,veh2_class,1,missing,2703,183,2886,0.06340956340956341,0.10256228010945663,False
individual,veh2_class,2,0,126,16,142,0.11267605633802817,0.005046376914602509,True
individual,veh2_class,2,1,4936,724,5660,0.12791519434628976,0.2011443192721845,False
individual,veh2_class,2,10,1344,261,1605,0.16261682242990655,0.05703827428124667,False
individual,veh2_class,2,11,195,30,225,0.13333333333333333,0.007996019759053272,True
individual,veh2_class,2,13,349,28,377,0.07427055702917772,0.013397775329613703,False
individual,veh2_class,2,2,439,79,518,0.1525096525096525,0.01840861437862042,False
individual,veh2_class,2,3,762,89,851,0.1045828437132785,0.03024272362201926,False
individual,veh2_class,2,4,9,0,9,0.0,0.00031984079036213083,True
individual,veh2_class,2,5,1238,257,1495,0.17190635451505018,0.053129109065709515,False
individual,veh2_class,2,6,8,0,8,0.0,0.00028430292476633854,True
individual,veh2_class,2,7,4286,679,4965,0.13675730110775428,0.17644550268310885,False
individual,veh2_class,2,8,928,145,1073,0.13513513513513514,0.03813212978428516,False
individual,veh2_class,2,9,7237,1088,8325,0.1306906906906907,0.295852731084971,False
individual,veh2_class,2,missing,2481,405,2886,0.14033264033264034,0.10256228010945663,False
individual,veh2_class,3,0,122,20,142,0.14084507042253522,0.005046376914602509,True
individual,veh2_class,3,1,4688,972,5660,0.1717314487632509,0.2011443192721845,False
individual,veh2_class,3,10,1239,366,1605,0.22803738317757008,0.05703827428124667,False
individual,veh2_class,3,11,183,42,225,0.18666666666666668,0.007996019759053272,True
individual,veh2_class,3,13,332,45,377,0.11936339522546419,0.013397775329613703,False
individual,veh2_class,3,2,399,119,518,0.22972972972972974,0.01840861437862042,False
individual,veh2_class,3,3,734,117,851,0.13748531139835488,0.03024272362201926,False
individual,veh2_class,3,4,9,0,9,0.0,0.00031984079036213083,True
individual,veh2_class,3,5,1158,337,1495,0.2254180602006689,0.053129109065709515,False
individual,veh2_class,3,6,8,0,8,0.0,0.00028430292476633854,True
individual,veh2_class,3,7,4010,955,4965,0.19234642497482377,0.17644550268310885,False
individual,veh2_class,3,8,870,203,1073,0.1891891891891892,0.03813212978428516,False
individual,veh2_class,3,9,6921,1404,8325,0.16864864864864865,0.295852731084971,False
individual,veh2_class,3,missing,2299,587,2886,0.2033957033957034,0.10256228010945663,False
individual,veh3_class,1,0,56,1,57,0.017543859649122806,0.002025658338960162,True
individual,veh3_class,1,1,4973,346,5319,0.06504982139499906,0.18902590710401934,False
individual,veh3_class,1,10,1559,58,1617,0.035868893011750155,0.05746472866839618,False
individual,veh3_class,1,11,95,0,95,0.0,0.00337609723160027,True
individual,veh3_class,1,13,285,14,299,0.046822742474916385,0.010625821813141903,False
individual,veh3_class,1,2,365,30,395,0.0759493670886076,0.014037456910337965,False
individual,veh3_class,1,3,1239,85,1324,0.06419939577039276,0.04705213404882903,False
individual,veh3_class,1,5,523,27,550,0.04909090909090909,0.019545826077685773,False
individual,veh3_class,1,6,10,0,10,0.0,0.0003553786559579232,True
individual,veh3_class,1,7,7421,452,7873,0.05741140607138321,0.2797896158356729,False
individual,veh3_class,1,8,559,46,605,0.07603305785123966,0.02150040868545435,False
individual,veh3_class,1,9,5064,426,5490,0.07759562841530054,0.19510288212089982,False
individual,veh3_class,1,missing,4245,260,4505,0.05771365149833518,0.1600980845090444,False
individual,veh3_class,2,0,56,1,57,0.017543859649122806,0.002025658338960162,True
individual,veh3_class,2,1,4569,750,5319,0.1410039481105471,0.18902590710401934,False
individual,veh3_class,2,10,1439,178,1617,0.11008039579468151,0.05746472866839618,False
individual,veh3_class,2,11,95,0,95,0.0,0.00337609723160027,True
individual,veh3_class,2,13,264,35,299,0.11705685618729098,0.010625821813141903,False
individual,veh3_class,2,2,326,69,395,0.17468354430379746,0.014037456910337965,False
individual,veh3_class,2,3,1136,188,1324,0.1419939577039275,0.04705213404882903,False
